Season,Episode,Category,Value,Question,Answer
40,8938,ONCE YUGOSLAVIA,$1600,"Italy borders 6 countries, including this former Yugoslav republic",Slovenia
40,8938,THE NEXT WORD IN THE DICTIONARY AFTER...,$1600,Rauwolfia (a somewhat poisonous tree): this verb meaning to pillage or plunder,ravage
40,8938,2020s POLITICS,$2000,Members of this conservative caucus formed in 2015 were instrumental in ending Kevin McCarthy's speakership,the Freedom Caucus
40,8938,TREES,$2000,"Providing shade, shelter & some food,here's this iconic tree at sunset on the Serengeti",an acacia tree
40,8938,IN THE PERIOD FILM,$2000,"In 2020,thisactor played a duke over on Netflix & in the period movie ""Sylvie's Love"", he played a jazz cat named Chico",Regé-Jean Page
40,8938,THE RUNAWAYS,$2000,"This Japanese author's 2002 novel ""Kafka on the Shore"" isn't about a European author but teenage runaway Kafka Tamura",(Haruki) Murakami
40,8938,ONCE YUGOSLAVIA,$2000,"Seenhereis the Imperial Mosque in Pristina, the capital of this country",Kosovo
40,8938,THE NEXT WORD IN THE DICTIONARY AFTER...,$2000,"Folsomoid (resembling a Folsom spear point): this, to incite a revolution",foment
40,8937,PICTURE THE 21st CENTURY FILM,$200,"A ""Marvel""ous movie",Black Panther
40,8937,ETYMOLOGY,$200,"Etymologically, disheveled describes messy or unkempt this, something your coiffeur may be able to help with",hair
40,8937,HIS WIDOW LIVED ON: NOTORIOUS EDITION,$200,"By 49 years, Georgiana Yoke outlived ""America's first"" of these evil repeaters, H.H. Holmes of ""Devil in the White City"" fame",serial killers
40,8937,"THE ""BURG""s",$200,Florida's Sunshine Skyway Bridge links this city & Terra Ceia,St. Petersburg
40,8937,ATOM,$200,"There are 100 of these in fermium, hence its atomic number",protons
40,8937,EVE,$200,"""We'll take a cup o' kindness yet for"" this song that makes New Year's Eve New Year's Eve","""Auld Lang Syne"""
40,8937,PICTURE THE 21st CENTURY FILM,$400,From 2019,Knives Out
40,8937,ETYMOLOGY,$400,The first 2 Greek letters gave us this word for a series of symbols,alphabet
40,8937,HIS WIDOW LIVED ON: NOTORIOUS EDITION,$400,"Last name of Blanche, who did some time but outlived her husband Buck & his brother Clyde by 5 decades",Barrow
40,8937,"THE ""BURG""s",$400,In 1985 Desmond Tutu became this city's first Black Anglican bishop,Johannesburg
40,8937,ATOM,$400,"Ferromagnetism can occur when constituent atoms in magnetite, an oxide of this element, align properly",iron
40,8937,EVE,$400,Midsummer's Eve festivities might include a jaunty dance around one ofthese,a maypole
40,8937,PICTURE THE 21st CENTURY FILM,$600,A Best Picture Oscar winner,Moonlight
40,8937,ETYMOLOGY,$600,"The Scottish firth is related to this word, found all over the map in Scandinavia",fjords
40,8937,HIS WIDOW LIVED ON: NOTORIOUS EDITION,$600,"The book ""The Pirate's Wife"" is ""The Remarkable True Story of"" Sarah, who outlived this captain by 43 years, dying in 1744",Captain Kidd
40,8937,"THE ""BURG""s",$600,"For its numerous canals,thisGerman city is often called ""the Venice of the north""",Hamburg
40,8937,ATOM,$600,"In what's called radioactive this, a nucleus might emit a photon or other high-speed particle & subsequently change",decay
40,8937,EVE,$600,"On the eve of this Jewish holiday, the last crumbs of sandwich bread & Cheerios are hunted down & eliminated",Passover
40,8937,PICTURE THE 21st CENTURY FILM,$800,"Hurry, get in",Baby Driver
40,8937,ETYMOLOGY,$800,"The word ""assassin"" came from the Arabic for someone who consumed this",hashish
40,8937,HIS WIDOW LIVED ON: NOTORIOUS EDITION,"DD: $2,000","Lester Gillis, known by this adorable alias, was killed by the FBI in 1934; Helen Gillis died in 1987 & is buried beside him",Baby Face Nelson
40,8937,"THE ""BURG""s",$800,It's the only state capital that fits the category,Harrisburg
40,8937,ATOM,$800,These are formed by the addition or removal of electrons from neutral atoms,ions
40,8937,EVE,$800,Freedom's eve in 1862 found enslaved & free Black Americans staying up late waiting for the signing of this the following day,the Emancipation Proclamation
40,8937,PICTURE THE 21st CENTURY FILM,$1000,A 2013 film starring Cate Blanchett,Blue Jasmine
40,8937,ETYMOLOGY,$1000,"The official of yore known as a presbyter gave us this 6-letter word, a synonym that starts with the same 2 letters",a priest
40,8937,HIS WIDOW LIVED ON: NOTORIOUS EDITION,$1000,"Born in the USSR, Marina, the widow of this notorious killer, quietly celebrated her 80th birthday in 2021",Lee Harvey Oswald
40,8937,"THE ""BURG""s",$1000,"It's the unofficial ""gateway to Great Smoky Mountains National Park""",Gatlinburg
40,8937,ATOM,$1000,"Triple bonds, where 2 atoms share 3 pairs of electrons, are this type of bond",covalent
40,8937,EVE,$1000,"In June bonfires are lit on the eve of ""Summer Christmas"", celebrating the birth of this man who lit the way for Jesus",John the Baptist
40,8937,POST-WWII ASIAN HISTORY,$400,"After signing a 1979 peace treaty with Egypt, Israel withdrew from this 23,000-square-mile territory linking Africa & Asia",Sinai
40,8937,DANCE MUSIC,$400,"An LCD Soundsystem bop from 2005 is titled this helmeted French duo ""Is Playing At My House""",Daft Punk
40,8937,THE NATIONAL PARK SYSTEM,$400,"Sent to this state as a boy with a digestive illness, Enos Mills became the father of its Rocky Mountain National Park",Colorado
40,8937,THAT HAS SOME APPEAL,$400,"A group of 5 legal appeals, Brown v. Board of Education challenged this 3-word basis for racial segregation in public schools",separate but equal
40,8937,PREQUELS & SEQUELS,$400,"In 2023, more than 30 years after ""The Firm"", he brought back lawyer Mitch McDeere for a sequel called ""The Exchange""",Grisham
40,8937,"STARTS & ENDS WITH ""L""",$400,"As a verb it's to help a baby go to sleep; as a noun, it's a pause of any kind",lull
40,8937,POST-WWII ASIAN HISTORY,"DD: $10,000",The Geneva Agreements of 1954 partitioned this country into North & South entities at the 17th parallel,Vietnam
40,8937,DANCE MUSIC,$800,"This reptilian DJ is behind hits like ""Turn Down For What"" & ""Taki Taki""",DJ Snake
40,8937,THE NATIONAL PARK SYSTEM,$800,You can see fossils of this tusked behemoth still in the ground at a Waco national monument named for it,a mammoth
40,8937,THAT HAS SOME APPEAL,$800,In 1961 the 5th Circuit found state-funded colleges can't expel students without at least minimal this judicial requirement,due process
40,8937,PREQUELS & SEQUELS,$800,"Daniel Defoe published ""The Farther Adventures of"" him in 1719, the same year as his first adventures",Robinson Crusoe
40,8937,"STARTS & ENDS WITH ""L""",$800,"A recipe in ""200 Years of New Orleans Cooking"" says to be this ""with the seasoning""",liberal
40,8937,POST-WWII ASIAN HISTORY,$1200,"Following the 1986 ouster of this longtime dictator, Corazon Aquino became the first elected woman president in Asia",Marcos
40,8937,DANCE MUSIC,$1200,"Co-founder of Major Lazer & producer of M.I.A.'s ""Paper Planes"" &  Beyoncé's ""Hold Up"", are just a few ofthisman's credits",Diplo
40,8937,THE NATIONAL PARK SYSTEM,$1200,"It precedes ""Sea"", ""Strait"" &, in the name of a national preserve in Alaska, ""Land Bridge""",Bering
40,8937,THAT HAS SOME APPEAL,$1200,This ex-French president lost an appeal in 2023 against a corruption conviction & a 3-year prison sentence,Sarkozy
40,8937,PREQUELS & SEQUELS,$1200,"A book with famous sequels begins, ""In a hole in the ground there lived"" one of these",a Hobbit
40,8937,"STARTS & ENDS WITH ""L""",$1200,Ace to five & deuce to seven are types of this 5-card draw poker game,lowball
40,8937,POST-WWII ASIAN HISTORY,$1600,"In 1999, after 442 years, Portugal gave up control of this special administrative region on the Pearl River estuary",Macau
40,8937,DANCE MUSIC,$1600,"""Baby Don't Hurt Me"" by David Guetta, with an Ed Sheeran writing cred, has been called a modern reimagining of this 1993 Haddaway hit","""What Is Love"""
40,8937,THE NATIONAL PARK SYSTEM,"DD: $2,600","In 1500 B.C. LA.'s Poverty Point was home not just to hunter-gatherers but to hunter-these-gatherers, getting   their omega-3s",fishermen
40,8937,THAT HAS SOME APPEAL,$1600,"The 8th Circuit found Farmington, Missouri schools could ban this flag after Black students were targeted with violence",the Confederate flag
40,8937,PREQUELS & SEQUELS,$1600,"Suzanne Collins tells the backstory of Coriolanus Snow in her 2020 ""Hunger Games"" prequel, ""The Ballad of"" these 2 animals",songbirds & snakes
40,8937,"STARTS & ENDS WITH ""L""",$1600,"I'm gonna make a 4 ""A"" to the fridge, flop on the couch & be this adjective for lazy or without enthusiasm",lackadaisical
40,8937,POST-WWII ASIAN HISTORY,$2000,"Before gaining independence in 1971 following a civil war & an invasion by India, Bangladesh was known by this directional name",East Pakistan
40,8937,DANCE MUSIC,$2000,"A scientific study suggested mosquitoes bite people less whenthisartist's EDM song ""Scary Monsters And Nice Sprites"" is playing",Skrillex
40,8937,THE NATIONAL PARK SYSTEM,$2000,"The National Park Service is in charge of the Martinez, California home of this ""father of the National Park Service""",(John) Muir
40,8937,THAT HAS SOME APPEAL,$2000,In Dettmer v. Landon a court of appeals recognized this neo-pagan faith as a religion but said no to using candles & incense in jail,Wicca
40,8937,PREQUELS & SEQUELS,$2000,"""The Infernal Devices"" is a prequel trilogy to this Cassandra Clare series that includes ""City of Bones"" & ""City of Ashes""",The Mortal Instruments
40,8937,"STARTS & ENDS WITH ""L""",$2000,"An Internet aesthetic focuses onthesespaces, eerie, transitional places like empty hotel hallways",liminal spaces
40,8934,THE GOLDEN AGE,$200,"The last dramas of ""the Golden Age of"" this, ""Suspense"" & ""Yours Truly, Johnny Dollar"", ended their runs in 1962",radio
40,8934,CELEBRITIES,$200,"This rapper's ""From Crook to Cook"" cookbook has staples like fried bologna sandwiches with chips &, of course, gin & juice",Snoop Dogg
40,8934,"SAME 3 LETTERS, 2 DIFFERENT MEANINGS",$200,"A level of special, affectionate attention & a cable TV network now featuring shows like ""90 Day Fiancé """,TLC
40,8934,"HELLO, WALLS",$200,This pilgrimage site in Jerusalem is the only remaining section left from what surrounded the Temple Mount,the Wailing Wall (Western Wall)
40,8934,BIG GEO,$200,"Visiting this place? Remember, it's an 850-mile trek from McMurdo Station",the South Pole
40,8934,ALSO A COLLECTIVE NOUN,$200,An academy for the chub or tilapia,a school
40,8934,THE GOLDEN AGE,$400,"Servicemen bought homes with zero down thanks to this U.S. bill signed in June 1944, helping start the ""Golden Age of Capitalism""",the G.I. Bill
40,8934,CELEBRITIES,$400,"John Legend helped her clarify that her Norwegian last name should be said with a long I in the first syllable, not a long E",Chrissy Teigen
40,8934,"SAME 3 LETTERS, 2 DIFFERENT MEANINGS",$400,A stat for a pitcher to keep low & a change to the Constitution first proposed in 1923,ERA
40,8934,"HELLO, WALLS",$400,"Home Depot says, ""Dig a trench and if you get heavy rains, install a drainage pipe behind this type of wall seenhere",a retaining wall
40,8934,BIG GEO,$400,"At nearly 600,000 square miles, it's Canada's largest province, & note I said province",Quebec
40,8934,ALSO A COLLECTIVE NOUN,$400,A series of links for Dominica & St. Lucia,a chain
40,8934,THE GOLDEN AGE,$600,"In the golden age of the Tang Dynasty the capital, Chang'an, passed this pop. milestone 1,000 years before London did around 1800",a million people
40,8934,CELEBRITIES,$600,In 2024 he ended his long partnership with Nike & launched his own clothing line called Sun Day Red,Tiger Woods
40,8934,"SAME 3 LETTERS, 2 DIFFERENT MEANINGS",$600,A college of Gamecocks & a college of Trojans,USC
40,8934,"HELLO, WALLS",$600,"Through name & deed, Nikolai Khabibulin earned the nickname ""The Bulin Wall"" playing this position professionally",goalkeeper (goalie in the NHL)
40,8934,BIG GEO,$600,"This Alaskan peak rises 18,000' from a base just 2,000' above sea level, leading some to say it's the world's tallest mountain",Denali
40,8934,ALSO A COLLECTIVE NOUN,$600,A swift adjective for the Caine or the Bounty,a fleet
40,8934,THE GOLDEN AGE,$800,"The pretty items being offered in apaintingfrom Spain's Golden Age, tell you the goddess is this Roman one",Flora
40,8934,CELEBRITIES,$800,"Mark Hamill met her at the Golden Globes in 2024 & tweeted a picture of them, saying, ""Now I have finally met my 'mother""'",Natalie Portman
40,8934,"SAME 3 LETTERS, 2 DIFFERENT MEANINGS",$800,A food additive common in Chinese cuisine & an indoor venue atop Penn Station,MSG
40,8934,"HELLO, WALLS",$800,"Found in the wall of the pharynx, these can partially grow back from tissue that remains after their removal",tonsils
40,8934,BIG GEO,$800,"It's a 7,900-foot plunge down this giant gorge into the Snake River below",Hells Canyon
40,8934,ALSO A COLLECTIVE NOUN,$800,A circle of an Old-Fashioned & a Mojito,a round
40,8934,THE GOLDEN AGE,$1000,"This police rank must look over clues carefully; it was common in British golden age detective novels: Grant, French, Cockrill...",an inspector
40,8934,CELEBRITIES,$1000,On Broadway in 2023 Josh Groban sang the title role in this musical set on Fleet Street,Sweeney Todd
40,8934,"SAME 3 LETTERS, 2 DIFFERENT MEANINGS",$1000,Texting shorthand for disbelief or disappointment & a major newspaper Down Under,SMH
40,8934,"HELLO, WALLS",$1000,"A protective shield, or a hastily constructed obstruction or wall, like those made in ""Les Mis""",a barricade
40,8934,BIG GEO,"DD: $1,000","At just shy of 500,000 square miles of mountains, jungle & arid coastline, it's the third largest country in South America",Peru
40,8934,ALSO A COLLECTIVE NOUN,$1000,A church area with singers for Zachariel & Selaphiel,a choir
40,8934,LITERARY TITLE OCCUPATIONS,$400,"Emily Chambers is one of these spiritual intermediaries in a C.J. Archer novel, hunting a demon & talking to a ghost",medium
40,8934,____ FROM THE ____,$400,"A woman who has given birth has gotten this, an avian idiom",a visit from the stork
40,8934,COLONIAL AMERICA,$400,"If you needed some upholstery work done in this city, you could go to the shop Betsy & John Ross ran on Arch Street",Philadelphia
40,8934,LEXICONGRESS,$400,"Senators can ""ask for the yeas & nays"", also known as this 2-word vote that's also the name of a D.C.-based newspaper",roll call
40,8934,MEN OF MEDICINE,$400,"In 1915,thesetwo physician brothers gave $1.5 million to the University of Minnesota to establish a research foundation",Mayo
40,8934,TV'S FANTASTICAL PLACES,$400,Mystic Falls is the locale for blood-sucking brothers Damon & Stefan on this long-running CW show,The Vampire Diaries
40,8934,LITERARY TITLE OCCUPATIONS,$800,"In a special edition J.K. Rowling did her own illustrations for the story collection titled ""The Tales of Beedle the"" this",the Bard
40,8934,____ FROM THE ____,$800,This rhyming phrase is evoked when someone or something from long ago evokes a feeling of nostalgia,a blast from the past
40,8934,COLONIAL AMERICA,$800,New York's colonial village of Bedford is today joined in a neighborhood name with this last Dutch governor of New Amsterdam,Stuyvesant
40,8934,LEXICONGRESS,$800,"Although it sounds like Congress goes to play on swings & seesaws, it actually means a brief pause in proceedings",a recess
40,8934,MEN OF MEDICINE,$800,"In the 1960s Lars Leksell invented the gamma knife for surgery on this, where precision is really, really important",the brain
40,8934,TV'S FANTASTICAL PLACES,$800,"This castle was the ancestral home of Ned Stark & family on ""Game of Thrones""",Winterfell
40,8934,LITERARY TITLE OCCUPATIONS,$1200,"In ""The Magician's Nephew"", animals talk like humans & Jadis, an evil witch, flees from Charn & reaches this fantasy land",Narnia
40,8934,____ FROM THE ____,$1200,"This colorful phrase meaning ""unexpected"" invokes visions of lightning",a bolt from the blue
40,8934,COLONIAL AMERICA,$1200,"This political pamphleteer's works like ""Common Sense"" did much to rally the cause of American independence",Paine
40,8934,LEXICONGRESS,$1200,The word for this position comes from a fox-hunting term for the person keeping the dogs in line,the whip
40,8934,MEN OF MEDICINE,$1200,In 1963 France's Dr. Georges Mathé announced that he had cured a leukemia patient by transplanting this spongy tissue,marrow
40,8934,TV'S FANTASTICAL PLACES,$1200,This undersea abode of cartoon fame is based on an actual atoll used for atomic testing between 1946 & 1958,Bikini Bottom
40,8934,LITERARY TITLE OCCUPATIONS,$1600,"In a James Patterson novel, an attorney is incarcerated & becomes literally this type of title behind-bars advocate",a jailhouse lawyer
40,8934,____ FROM THE ____,$1600,"Meaning to speak frankly, this saying alludes to Old West gunslinger days",shoot from the hip
40,8934,COLONIAL AMERICA,$1600,"The first governor of the separate colony of North Carolina,hedoesn't have a loathsome face like the same-named Stevenson character",Mr. Edward Hyde
40,8934,LEXICONGRESS,$1600,"Since 1975 the CBO, this nonpartisan agency, has told lawmakers how much their programs & pork will cost or save",the Congressional Budget Office
40,8934,MEN OF MEDICINE,"DD: $1,000","In 1853 this British anatomist wrote ""On the Structure and Use of the Spleen""; his more famous work came 5 years later",Gray
40,8934,TV'S FANTASTICAL PLACES,$1600,"""Veronica Mars"" was set in this town that also has a planetary name","Neptune, California"
40,8934,LITERARY TITLE OCCUPATIONS,$2000,Holocaust survivor Sol runs a shop whose customers are often desperate in this novel made into a Rod Steiger movie,The Pawnbroker
40,8934,____ FROM THE ____,$2000,"To recover from devastating defeat is to ""rise like"" this bird of myth",Phoenix from the ashes
40,8934,COLONIAL AMERICA,$2000,In 1630 John Winthrop sailed west from England to become the governor of this colony & a key leader of the Puritans,the Massachusetts Bay Colony
40,8934,LEXICONGRESS,"DD: $4,000",Jason Smith currently holds this title that includes the name of the legislature of the United Kingdom,the Parliamentarian
40,8934,MEN OF MEDICINE,$2000,"Hisname is a homophone of a childhood bone disease, but it was epidemic typhus for which he identified the micro cause",(Howard) Ricketts
40,8934,TV'S FANTASTICAL PLACES,$2000,"First seen in 1969, this planet on ""Doctor Who"" was caught up in a time war with the Daleks",Gallifrey
40,8931,"""O"" SAY",$200,"""I need physics more than friends"", said this scientist, who could have used a few more during a 1954 investigation into his life",Oppenheimer
40,8931,CAN YOU SEE?,$200,"He said, ""You'd think that being arock star married to a supermodelwould be one of the greatest things in the world. It is""",David Bowie
40,8931,PREPOSITIONAL BOOK TITLES,$200,"This novel was originally published as ""le Tour du monde en quatre-vingts jours""",Around the World in Eighty Days
40,8931,BIRDPLAY,$200,Many have lost riches trying to ranch this speedy giant,an ostrich (in lost riches)
40,8931,SPORTS VENUES,$200,"TPC Sawgrass was ""built for the pros"" of this sport but can be ""experienced by you""",golf
40,8931,PRANKS,$200,"In 1998 a physicist pulled a fast one with an article about Alabama wanting to ""slice"" this irrational number down to 3",pi
40,8931,"""O"" SAY",$400,"In 1892 she told an interviewer, ""It is impossible to shoot brilliantly in a tight-fitting bodice""",(Annie) Oakley
40,8931,CAN YOU SEE?,$400,"Still around today,thisBritish landmark had a simple purpose stated as, ""to separate the Romans from the barbarians""",Hadrian's Wall
40,8931,PREPOSITIONAL BOOK TITLES,$400,"This Stephen King novel has Chester's Mill, Maine suddenly sealed off from the rest of the world by an invisible force field",Under the Dome
40,8931,BIRDPLAY,$400,"If you're like this largest of the perching birds, you probably crave new surroundings",a raven (in crave new)
40,8931,SPORTS VENUES,$400,Lambeau Field has a boardroom named for this coach who won the first 2 Super Bowls,Lombardi
40,8931,PRANKS,$400,"On episodes of this prank-full MTV show, Taylor Swift thought she set fire to a boat & Rihanna stole money from children",Punk'd
40,8931,"""O"" SAY",$600,"This HBO host: ""Cuba. Florida's teardrop tattoo""",John Oliver
40,8931,CAN YOU SEE?,$600,Here's a spectacular pic of Jupiter taken by this craft that arrived at the planet in 2016 & is named for the Roman god's wife,Juno
40,8931,PREPOSITIONAL BOOK TITLES,$600,"In this Nick Hornby novel, a 12-year-old misfit & a 36-year-old man-child strike up a friendship that teaches them both valuable lessons",About a Boy
40,8931,BIRDPLAY,$600,Every day the old folks wander down to the lake to see this dabbler,a swan (in folks wander)
40,8931,SPORTS VENUES,$600,"The first game at Fenway Park was an exhibition, with this Ivy League team losing 2-0 to the local pros",Harvard
40,8931,PRANKS,$600,Taco Bell fooled many when it announced plans to buy this Philly icon to reduce the national debt,the Liberty Bell
40,8931,"""O"" SAY",$800,"He joked, ""These days, I look in the mirror & I... admit, I'm not the strapping young Muslim socialist that I used to be""",Obama
40,8931,CAN YOU SEE?,$800,"Beaver was a name under consideration by Ford for a model introduced in 1954; luckily, they went withthis",a Thunderbird
40,8931,PREPOSITIONAL BOOK TITLES,$800,"Ring in if you know this Hemingway novel is about Robert Jordan, who fights on the losing side in the Spanish Civil War",For Whom the Bell Tolls
40,8931,BIRDPLAY,$800,"Whenever I mention this raptor, I see a gleam in your eye",eagle (in see a gleam)
40,8931,SPORTS VENUES,$800,"Home to a jewel in a crown, Pimlico in this state opened in 1870",Maryland
40,8931,PRANKS,$800,On April Fools' Day in 1989 this founder of Virgin Galactic pranked U.K. folks by flying around in a balloon that looked like a UFO,Branson
40,8931,"""O"" SAY",$1000,"This Greek shipping magnate: ""If you sleep 3 hours less each night for a year, you will have an extra month & a half to succeed in""",Onassis
40,8931,CAN YOU SEE?,$1000,"ThisAmerican composer was tempted with several books of Western tunes to bring ""Billy the Kid"" to balletic life in 1938",Copland
40,8931,PREPOSITIONAL BOOK TITLES,"DD: $3,000",Virginia Woolf used stream of consciousness in this novel about the Ramsay family vacationing on the Isle of Skye,To the Lighthouse
40,8931,BIRDPLAY,$1000,Particular kinds ofthissongbird you might see depend on your location & time of year,a lark (in Particular kinds)
40,8931,SPORTS VENUES,$1000,"As of 2023, Rafael Nadal had won 14 titles & only lost 3 times in singles at this French Open venue",Roland-Garros
40,8931,PRANKS,$1000,In 1818 this French-American ornithologist pranked a rival by sketching up a bulletproof fish,Audubon
40,8931,THE SOUTHERN HEMISPHERE,$400,It's the smaller of the 2 continents completely in the Southern Hemisphere,Australia
40,8931,BUSINESS NAMES,$400,"One of the most powerful women in business, Karen Lynch became C-E-O of this healthcare co. & drugstore chain in 2021",CVS
40,8931,SINGERS ON FILM,$400,"Her film roles have included a witch of Eastwick & biker mom Rusty Dennis in ""Mask""",Cher
40,8931,WORLD HISTORY,$400,In 1762 she helped overthrow her husband Peter III in order to take the Russian throne for herself,Catherine the Great
40,8931,ART & ARTISTS,$400,"Picasso often depicted this creature who's part man, part bull in his works, perhaps to symbolize his own womanizing",a Minotaur
40,8931,TALKING HOT & COLD,$400,"In the 1930s sales guru Elmer Wheeler came up with the phrase ""don't sell the steak, sell"" this",the sizzle
40,8931,THE SOUTHERN HEMISPHERE,$800,"The name of this desert is from a Tswana word meaning ""the great thirst""",Kalahari
40,8931,BUSINESS NAMES,"DD: $6,000","It was the last name of brothers Andre & Edouard, who began manufacturing tires for bicycles & automobiles in the 1890s",Michelin
40,8931,SINGERS ON FILM,$800,"In his 2017 film debut, he played Alex, a soldier trapped on the beaches of Dunkirk",Styles
40,8931,WORLD HISTORY,$800,"On Aug. 26, 1789 the French National Assembly adopted this declaration, much to the chagrin of Louis XVI",the Declaration of Rights of Man
40,8931,ART & ARTISTS,$800,"In Norwegian this 1893 painting is known as ""Skrik""",The Scream
40,8931,TALKING HOT & COLD,$800,This acronym refers to the federal agency that enforces laws concerning border control & illegal trade,ICE
40,8931,THE SOUTHERN HEMISPHERE,$1200,"The last Olympics held in the hemisphere were hosted by this city in 2016, with more than 11,000 athletes competing",Rio de Janeiro
40,8931,BUSINESS NAMES,$1200,"Pink Cadillacs were unique incentives to top earners fromthiscosmetics maven, who launched her business in 1963",Mary Kay
40,8931,SINGERS ON FILM,$1200,"She was handpicked by Aretha Franklin to play the queen of soul in ""Respect"", released in 2021",Jennifer Hudson
40,8931,WORLD HISTORY,$1200,"Reigning from 1851 to 1868, King Mongkut opened this country to Western influence & modernization",Thailand (Siam)
40,8931,ART & ARTISTS,$1200,Pre-revolutionary France craved moralistic scenes like the painting seenhereof a father doing this to his children,reading the Bible
40,8931,TALKING HOT & COLD,$1200,In 2022 Wendy's had a holiday version of this dairy dessert for the Christmas season--peppermint,a Frosty
40,8931,THE SOUTHERN HEMISPHERE,$1600,"This 22,800' peak in South America was first summited in 1897 by a team led by Edward Fitzgerald",Aconcagua
40,8931,BUSINESS NAMES,$1600,"Last name of Ferdinand, who designed the Volkswagen; his son Ferry designed the eponymous sports car",Porsche
40,8931,SINGERS ON FILM,$1600,"He starred in the 1980 remake of ""The Jazz Singer"" & also appeared as himself in ""Saving Silverman""",Neil Diamond
40,8931,WORLD HISTORY,$1600,"More than 13,000 places were surveyed for this census compilation that William the Conqueror ordered in 1085",the Domesday Book
40,8931,ART & ARTISTS,$1600,"This American painter known for his seascapes said, ""never put more than two waves in a picture; it's fussy""",Homer
40,8931,TALKING HOT & COLD,"DD: $4,800",This military policy is described as a tactic in which you destroy everything that an enemy can use to wage war,scorched earth
40,8931,THE SOUTHERN HEMISPHERE,$2000,"Occupying half of an island, this small country is the only Asian nation completely in the Southern Hemisphere",East Timor
40,8931,BUSINESS NAMES,$2000,"This Omaha company's annual shareholders' meeting has featured comedy skits, dancing & of course a Q&A with Warren Buffett",Berkshire Hathaway
40,8931,SINGERS ON FILM,$2000,"In her first major role, Madonna played the free-spirited title character in this 1985 film",Desperately Seeking Susan
40,8931,WORLD HISTORY,$2000,"The name of this movement that began in Jamaica in the 1930s came from the birth name of Haile Selassie, venerated as the Black Messiah",Rastafarianism
40,8931,ART & ARTISTS,$2000,In the 1820s this British landscape painter did a study of clouds over Hampstead Heath at different times of day,Constable
40,8931,TALKING HOT & COLD,$2000,"Our planet's tropics are also called this ""zone"", an adjective meaning very hot",the torrid zone
40,8930,LET'S GO TO THE GEOPARK,$200,"Interested in these? Check out Ecuador's Imbabura Geopark, which has 13 of them--3 potentially active, the rest dormant or extinct",volcanoes
40,8930,"MUSIC, MUSIC EVERYWHERE",$200,"Trumpet players use this device to alter tonal quality in addition to lowering the volume, but do they ""hit"" it as they do?",a mute
40,8930,DOWNLOADING SOME APPS,$200,"What are my choices to put on raw European flat these on the half shell? Tabasco sauce, lemon, ketchup... really? Ketchup?",oysters
40,8930,WHAT'S THAT SONG?,$200,"George Michael:""I know not everybody has got a body like you""","""Faith"""
40,8930,FROM RIDICULOUS TO SUBLIME,$200,"Metaphorically, nations ""rattle"" these fencing swords when they threaten war",sabers
40,8930,MORE THAN 2 EYES,$200,"In Greek myth, Argus found his hundred eyes transferred onto the tail of this bird",a peacock
40,8930,LET'S GO TO THE GEOPARK,$400,The Black Country Geopark in this country includes coal mines & other sites at the heart of the Industrial Revolution,England
40,8930,"MUSIC, MUSIC EVERYWHERE",$400,"In songs, the name of this dance follows ""Beer Barrel"" (fun!), ""Too Fat"" (uhh...) & ""Strip"" (hey now!)",polkas
40,8930,DOWNLOADING SOME APPS,$400,"The Anchor Bar in Western New York claims to have invented these appetizers, but have you ever seen the animal fly?",Buffalo wings
40,8930,WHAT'S THAT SONG?,$400,"TLC:""Please stick to the rivers & the lakes that you're used to""","""Waterfalls"""
40,8930,FROM RIDICULOUS TO SUBLIME,$400,"This word that means ""to search thoroughly"" can be found before ""sale""",rummage
40,8930,MORE THAN 2 EYES,$400,Traditional number of eyes seen in artwork of the 3 wise monkeys,four
40,8930,LET'S GO TO THE GEOPARK,$600,"In Austria, you can visit historic mines in the geopark called Ore of these mountains",the Alps
40,8930,"MUSIC, MUSIC EVERYWHERE",$600,Falsetto is used by male singers to reach this vocal register of Jessye Norman & Joan Sutherland,soprano
40,8930,DOWNLOADING SOME APPS,$600,Sprinkling cayenne pepper instead of paprika on halved hard-boiled eggs to make these Cajun--that's spicy!,deviled eggs
40,8930,WHAT'S THAT SONG?,$600,"Eminem:""Hit me back, just to chat, truly yours, your biggest fan""","""Stan"""
40,8930,FROM RIDICULOUS TO SUBLIME,$600,"From the Yiddish, it means to carry or haul, or to move at a tediously slow pace",schlep
40,8930,MORE THAN 2 EYES,$600,Be careful--eyes on these can sprout & the resulting buds contain a toxin called solanine,potatoes
40,8930,LET'S GO TO THE GEOPARK,$800,"Learn about the Canadian this, the huge rock formation that underlies much of northeast North America, at Quebec's Percé Geopark",the Canadian Shield
40,8930,"MUSIC, MUSIC EVERYWHERE",$800,1940s originators of this first kind of modern jazz included Dizzy Gillespie & Thelonious Monk,bebop
40,8930,DOWNLOADING SOME APPS,$800,"If you are making the Greek appetizer dolmades yalantzi, make sure these leaves are tender before stuffing them",grape leaves
40,8930,WHAT'S THAT SONG?,$800,"Hall & Oates:""She'll only come out at night, the lean & hungry type""","""Maneater"""
40,8930,FROM RIDICULOUS TO SUBLIME,$800,"Charles Dickens coined this word for doctors of the Victorian era who cut & amputated legs fast, as there was no anesthesia",sawbones
40,8930,MORE THAN 2 EYES,$800,A beholder is also called the sphere of many eyes in the first edition of this alliterative Dungeons & Dragons reference book,theMonster Manual
